Pantalone[CG],Microscopio[CS],Pericolo[AG],Euristica[AS]
Indumento per la parte inferiore del corpo umano,Strumento scientifico per l'osservazione di micro-organismi,Situazione potenzialmente rischiosa,Strategia di ricerca nello spazio degli stati
"Indumento per le gambe, diviso per ogni gamba può essere lungo o corto e di diversi tessuti",Dispositivo ottico o elettronico per ispezionare oggetti molto piccoli e solitamente non visibili ad occhio nudo,"Situazione in cui si teme per la propria o altrui incolumità, le caue pssono essere ambientali o psicologiche.",Strategia di ricerca che permette di stimare il costo che separa la soluzione attualmente selezionata dall'obbiettivo da raggiungere. Permette di scegliere la strada più promettente per proseguire la ricerca
abito indossato sulle gambe,strumento dotato di lenti che permette di visualizzare entità molto piccole,condizione che può causare danni alle persone e oggetti conivolti,regola che permette di approssimare una soluzione ottima a un problema 
capo di abbigliamento per le gambe,strumento per osservare da vicino cose molto piccole,Evento che minaccia la sicurezza di una persona,Funzione per trovare una soluzione ottima ad un problema
"Indumento indossato nella parte inferiore del corpo, copre le gambe.",Strumento scientifico utilizzato per ingrandire oggetti,Situazione dove é minacciata la sicurezza di una persona.,Funzione che stima la distanza dallo stato attuale allo stato obiettivo.
Indumento per la parte inferiore del corpo che può coprire parzialmente o totalmente le gambe.,Strumento che permette di ingrandire oggetti ed elementi fino a una scala impossibile da raggiungere ad occhio nudo.,Situazione in cui è a rischio l’incolumità di qualcuno o qualcosa.,Strategia adottata durante la risoluzione di un problema al fine di raggiungere la soluzione in maniera più rapida ed efficiente.
"Capo indossabile che copre la parte inferiore del corpo, in cui ogni gamba è coperta singolarmente",dispositivo per vedere oggetti visibili solo nella scale delle cellule,Evento in cui ci si la propria vita si sente minacciata,Funzione per approssimare un comportamento
indumento indossabile da una persona tipicamente di colore blu e particolarmente resistente,dispositivo utilizzato per l'analisi e la visione di dettagli piccoli invisibili ad occhio nudi in oggetti di varia natura,situazione che compromette la sicurezza di un soggetto ,ipotesi assunta nella ricerca scientifica e metodologia adottata
Indumento che copre le gambe di una persona,Strumento per osservare elementi non visibili a occhio nudo,situazione che minaccia la sicurezza di un soggetto,Metodologia di ricerca di fatti o verità
Indumento da indossare dalla vita in giù,Strumento impiegato per facilitare la visualizzazione di oggetti molto piccoli e non direttamente visibili a occhio nudo,Situazione in cui l’incolumità della persona è a rischio,Metedologia per trovare soluzione migliore rispetto al problema dato
Indumento vestibile nella parte bassa del corpo,Strumento utilizzato per ingrandire elementi difficili o impossibili da visualizzare a occhio nudo,Situazione di poca sicurezza,Criterio per stimare la bontà di un percorso scelto da un algoritmo
Indumento di diverso materiale che si indossa per coprire le gambe,Strumento di precisione utilizzato per osservare oggetti di piccole dimensioni in campo scientifico,Una situazione o un evento che può nuocere fisicamente o psicologicamente una persona,"Una tecnica che può essere utilizzata per ottimizzare, migliorare o semplificare un qualche tipo di problema matematico o algoritmico"
"capo di abbigliamento per le gambe, possono essere di diverso materiale","strumento scientifico che, usando diverse tecnologie, permette di vedere oggetti invisibili ad occhio nudo","minaccia alla sicurezza di persone, oggetti o sistemi","criterio in base a cui un processo decisionale, spesso un algoritmo, è in grado di scegliere tra possibili alternative quella migliore"
Indumento per coprire le gambe,Strumento utilizzato in ambito scientifico per osservare corpi molto piccoli,Percezione umana innescata da un evento che mina la sicurezza del soggetto,Misura utilizzata per stimare la bontá di una scelta ai fini di raggiungere un goal
vestiario da indossare sulle gambe,strumento utile ad osservare entità microscopiche e microrganismi,evento rischioso che può ledere alla incolumità fisica o mentale di una persona,regola da utilizzare per semplificare la risoluzione di un problema
indumento indossabile nella parte inferiore del corpo,strumento utilizzato per osservare materia a livello di particelle,situazione che può arrecare danno ,linea guida 
indumento indossato sulle gambe,strumento di laboratorio per aumentare le dimensioni di oggetti/organismi piccolissimi ,"evento che rappresenta un rischio per l'integrità di un altro evento, oggetto o persona",Regola per aiutare a prendere decisioni
ritaglio di stoffa lavorato in maniera tale da risultare una protezione per il basso ventre e le gambe ,"strumento scientifico utilizzato per osservare ""oggetti"" molto piccoli","rischio, minaccia",parte della scienza che ha come oggetto la ricerca tramite stima
Insieme di pezzi di stoffa cuciti tra loro per fornire calore e copertura alla parte inferiore del corpo umano,Prodigio della scienza che permette di osservare elementi e/o organismi normalmente non visibili ad occhio nudo,"Situazione generica in cui una persona, animale o cosa non vorrebbe ritrovarsi onde evitare una improvvisa riduzione delle proprie aspettative di vita.",Regola stipulata in quanto direttrice (e metodo di valutazione) di una ricerca di un risultato dato un problema preso in considerazione.
Capo di abbigliamento per la parte inferiore del corpo ,Strumento per osservare oggetti di piccole dimensioni non visibili ad occhio nudo ,Situazione o sensazione di minaccia ,Assunzione di fatti nell'ipotesi di lavoro che guidano il processo 
è un indumento per le gambe,Strumento per analizzare nel dettaglio oggetti di piccole dimensioni ,Situazione che attiva un meccanismo di difesa per la tua incolumità ,Stima di un costo utile a guidare un processo di decisone 
È un indumento che si indossa per la parte inferiore del corpo,È uno strumento che viene utilizzato come una lente di ingradimento molto potente per vedere cose che non si riescono a vedere con l'occhio umano.,È una situazione spaventosa e ansiosa che può comportare ad avvenimenti molto brutti.,È un criterio che viene utilizzato come stima in dei calcoli.
indumento per coprire le gambe,strumento usato in ambito scientifico per l'osservazione di oggetti molto piccoli ,situazione che mette a rischio l'incolumità di un individuo,regola per semplificare e ottimizzare la soluzione di un problema  
Capo di abbigliamento per le gambe,Strumento scientifico per l'osservazione di elementi dell'ordine di grandezza di 10^-6,Situazione o sentimento che provoca insicurezza,Approccio di problem solving
indumento,apparecchio scientifico,minaccia,insieme di strategie
indumento che ricopre le gambe e il bacino,strumento dotato di ottiche capace di ingrandire l'elemento posto dietro la lente,"situazione o sentimento provato da una persona di insicurezza, instabilità e paura",metrica usata per guidare una strategia
indumento per coprire le gambe,strumento scientifico per analizzare i dettagli di oggetti,è in una situazione in cui un individuo teme per la sua incolumità in determinate circostanze,insieme di strategie da utilizzare come linee guida
indumento per gambe ,strumento per vedere nei dettagli da vicino ,situazione che potrebbe causare danni,metdologia di ricerca 
indumento che copre le gambe,strumento tecnologico per vedere cose molto piccole,situazione in cui ci possono essere danni,soluzione a un problema
Indumento per la parte inferiore del corpo provvisto di due separati canali di tessuto per le gambe,Macchinario dotato di lente atta ad ingrandire un oggetto,Contesto che mina la sicurezza o l'integrità di qualcosa,Approccio alla ricerca basato sull'evidenza empirica e sull'intuizione
Indumento per la parte inferiore del corpo dalla cintura fino alle caviglie.,Strumento utilizzato per osservare e analizzare oggetti e fenomeni altrimenti invisibili a occhio nudo.,Situazione in cui la propria o altrui incolumità è a rischio.,Funzione utilizzata per stimare la distanza dallo stato attuale al goal.
Indumento adibito ad essere indossato nella parte inferiore del corpo,Strumento che consente di osservare elementi non visibili all'occhio umano,Situazione in cui l'incolumità fisica o psicologica è minacciata,Criterio utilizzato al fine dell'ottenimento di un determinato obiettivo
Indumento resistente e popolare,strumento che ingranisce oggetti piccoli,situazione che può provocare sofferenza,scorciatoia mentale utilizzata per risolvere problemi complessi
