pseudoword,ambiguity_reduction,L1,L2,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|,synsets_intersection
accept-accettare,0.48148148148148145,EN,IT,16,11,7,"['bn:00082203v', 'bn:00082197v', 'bn:00082201v', 'bn:00082198v', 'bn:00082202v', 'bn:00082200v', 'bn:00082199v']"
ace-asso,0.9375,ES,IT,19,13,1,['bn:00213010n']
aim-apuntar,0.8909090909090909,EN,ES,34,21,3,"['bn:00082489v', 'bn:00082490v', 'bn:00082485v']"
begin-iniziare,0.6571428571428571,EN,IT,23,12,6,"['bn:00083340v', 'bn:00094300v', 'bn:00083341v', 'bn:00083342v', 'bn:00009629n', 'bn:00083343v']"
bell-campana,0.8260869565217391,EN,ES,46,23,6,"['bn:00009727n', 'bn:00009734n', 'bn:23690399n', 'bn:00009731n', 'bn:00081263n', 'bn:00009729n']"
bind-vincular,0.8947368421052632,EN,ES,16,3,1,['bn:00082347v']
bit-bit,0.8857142857142857,EN,IT,29,6,2,"['bn:00010731n', 'bn:03291284n']"
bright-lumineux,0.9512195121951219,EN,FR,36,5,1,['bn:00098857a']
portare-apporter,0.7272727272727273,IT,FR,19,3,3,"['bn:00084060v', 'bn:00084061v', 'bn:00084058v']"
cap-tapa,0.9365079365079365,EN,ES,43,20,2,"['bn:00015402n', 'bn:00051011n']"
capital-capital,0.8,EN,FR,39,21,6,"['bn:00015406n', 'bn:21778975n', 'bn:00793050n', 'bn:14852143n', 'bn:00015496n', 'bn:00015497n']"
capture-cattura,0.9090909090909091,EN,IT,17,5,1,['bn:00015777n']
care-atención,0.9111111111111111,EN,ES,29,16,2,"['bn:00002157n', 'bn:00016015n']"
carrier-vettore,0.95,EN,IT,30,10,1,['bn:00016254n']
centre-centro,0.6444444444444445,FR,ES,39,51,16,"['bn:01694564n', 'bn:00017132n', 'bn:16003456n', 'bn:00017204n', 'bn:03576614n', 'bn:00017135n', 'bn:00017129n', 'bn:00017124n', 'bn:03412698n', 'bn:00017122n', 'bn:00017120n', 'bn:00017215n', 'bn:00017121n', 'bn:03944256n', 'bn:03271050n', 'bn:00017123n']"
channel-canale,0.7727272727272727,EN,IT,26,18,5,"['bn:00017681n', 'bn:00017685n', 'bn:00015144n', 'bn:00017684n', 'bn:17861195n']"
chop-chop,0.8235294117647058,EN,ES,31,3,3,"['bn:03835125n', 'bn:26639755n', 'bn:01905743n']"
circle-cerchio,0.8888888888888888,EN,IT,56,16,4,"['bn:01272715n', 'bn:00019169n', 'bn:00019170n', 'bn:00027457n']"
