pseudoword,ambiguity_reduction,ambiguity_drop,L1,L2,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|,synsets_intersection
you-vous,0.9827586206896552,0.31197422724517,EN,FR,113,3,1,['bn:00696543n']
trouble-problemi,0.9775280898876404,0.4501879644683676,EN,IT,84,5,1,['bn:00027041n']
crush-cotta,0.9770114942528736,0.5646365082034643,EN,IT,79,8,1,['bn:00014726n']
take-toma,0.972972972972973,0.7172747130628061,EN,ES,62,12,1,['bn:00075933n']
up-arriba,0.972972972972973,0.7822952404721206,EN,ES,59,15,1,['bn:00117524r']
high-alta,0.9714285714285714,0.7771428571428571,EN,ES,56,14,1,['bn:00104162a']
switch-interruttore,0.9714285714285714,0.3934964847981764,EN,IT,67,3,1,['bn:00030170n']
grant-subvention,0.9714285714285714,0.3236773296730452,EN,FR,68,2,1,['bn:00041379n']
low-faible,0.9710144927536232,0.8368213451546649,EN,FR,52,17,1,['bn:00106205a']
hot-caldo,0.9701492537313432,0.6914028648789182,EN,IT,57,10,1,['bn:00104348a']
blue-blu,0.9701492537313432,0.6768453847305108,EN,IT,115,19,2,"['bn:00098606a', 'bn:00011477n']"
move-déplacer,0.9696969696969696,0.332450571136375,EN,FR,64,2,1,['bn:00087012v']
everything-tout,0.96875,0.6735414641600553,EN,FR,55,9,1,['bn:00958448n']
spin-rotation,0.96875,0.6735414641600553,EN,FR,55,9,1,['bn:00068323n']
closer-más cerca,0.9682539682539684,0.3395147503393413,EN,ES,61,2,1,['bn:00114752r']
water-l'eau,0.9682539682539684,0.4123965128571041,EN,FR,60,3,1,['bn:01410923n']
raw-brut,0.9682539682539684,0.6776366181849155,EN,FR,54,9,1,['bn:00003154n']
honey-miel,0.9672131147540984,0.4183087619124441,EN,ES,58,3,1,['bn:00044622n']
true-vero,0.9672131147540984,0.7921631430379048,EN,IT,48,13,1,['bn:00112146a']
square-piazza,0.9666666666666668,0.6572069595297366,EN,IT,52,8,1,['bn:00065099n']
vista-ver,0.9661016949152542,0.9251289547073318,IT,ES,21,38,1,['bn:00009669n']
fire-incendio,0.9661016949152542,0.3892199175341962,EN,IT,113,5,2,"['bn:00034623n', 'bn:00021764n']"
mount-monte,0.9655172413793104,0.9446261756364116,EN,ES,23,35,1,['bn:00056068n']
catch-cattura,0.9649122807017544,0.5459208078256943,EN,IT,52,5,1,['bn:00016701n']
big-grande,0.9649122807017544,0.8828713629698879,EN,IT,40,17,1,['bn:00098342a']
drift-dérive,0.9649122807017544,0.8097314138141912,EN,FR,44,13,1,['bn:00028732n']
air-l'air,0.9649122807017544,0.3550907149852775,EN,FR,55,2,1,['bn:02744522n']
major-majeur,0.9642857142857144,0.5964970893413226,EN,FR,50,6,1,['bn:00106333a']
forward-avant,0.9642857142857144,0.7386294463230035,EN,FR,46,10,1,['bn:14503893n']
slice-corte,0.9642857142857144,0.954395342946116,EN,ES,24,32,1,['bn:00024603n']
flame-fiamma,0.9636363636363636,0.7959858309485343,EN,IT,43,12,1,['bn:00034625n']
bounce-rebote,0.9629629629629628,0.60526012546009,EN,ES,48,6,1,['bn:00012412n']
bare-nudo,0.9622641509433962,0.6889690025001952,EN,IT,45,8,1,['bn:00097745a']
bad-cattivo,0.9622641509433962,0.6097797342905518,EN,IT,47,6,1,['bn:00097966a']
solo-juste,0.9622641509433962,0.7225967859371679,IT,FR,44,9,1,['bn:00114626r']
cast-getto,0.9615384615384616,0.7853831576033766,EN,IT,41,11,1,['bn:00016531n']
out-fuori,0.9615384615384616,0.7853831576033766,EN,IT,41,11,1,['bn:00116479r']
next-suivant,0.9607843137254902,0.516612188265515,EN,FR,47,4,1,['bn:00103172a']
slide-diapositive,0.96,0.3762416244914961,EN,FR,48,2,1,['bn:00049948n']
shaft-arbre,0.96,0.8620778619127161,EN,FR,36,14,1,['bn:00068327n']
power-pouvoir,0.9595959595959596,0.6031438313151246,EN,FR,88,11,2,"['bn:00035773n', 'bn:00063940n']"
we-nous,0.9591836734693876,0.742825739414813,EN,FR,40,9,1,['bn:01658249n']
wish-desiderio,0.9591836734693876,0.9248105874516164,EN,IT,31,18,1,['bn:00081411n']
kick-calcio,0.9591836734693876,0.7731575426340528,EN,IT,39,10,1,['bn:00012171n']
peace-la paix,0.9583333333333334,0.5297386817928763,EN,FR,44,4,1,['bn:00827649n']
bill-bill,0.9583333333333334,0.2737500968910138,EN,ES,47,1,1,['bn:02586853n']
inside-all'interno,0.9583333333333334,0.2737500968910138,EN,IT,47,1,1,['bn:00046892n']
